"freq","issuerLabel"
"1","""Autoridade Certificadora da Presidencia da Republica v4"""
"1","""adm.advanced-investors.com"""
"1","""cx9-EX01.cxneun.local"""
"1","""BIOMO-NET"""
"1","""lyndon.positive-dedicated.net"""
"1","""catalogo-dth.cds.nowonline.com.br"""
"1","""madinatele.techsna.com"""
"1","""sqsolman.sqlan.local"""
"1","""Sonera Class2 CA"""
"1","""Juventus FC SPA"""
"1","""NRMARZSERVER01"""
"1","""Microsoft Secure Server CA 2012"""
"1","""IZTVMAIL01"""
"1","""agrargiganten.de"""
"1","""RootCA"""
"1","""HCMC-MCD-CA-01-CA"""
"1","""*.socadis.lan"""
"1","""portal.thesterlinggroup.co.uk"""
"1","""Jair"""
"1","""exch2003"""
"1","""ATHEX SSL Certificates CA"""
"1","""Goethe-Institut Server-Admin CA"""
"1","""WMSvc-HASUAT-WEB1"""
"1","""000000000.nl"""
"1","""AC-ABINNET"""
"1","""tracking.sanita.basilicata.it"""
"1","""groeneveld-ca"""
"1","""Boris Benko"""
"1","""KLASS3-SK 2016"""
"1","""cptest.cb.nsc.no"""
"1","""allianzlk-ALLIANZCA-CA"""
"1","""zimbra01.ferrocons.com.ar"""
"1","""bpdbali.co.id"""
"1","""SWIFT"""
"1","""Vast-Auto Class 1 Certification Authority"""
"1","""huronbeaches.ca"""
"1","""Skatteverket Microsoft Enterprise Open CA"""
"1","""bagawanta.com"""
"1","""wolf"""
"1","""dtvdcdp-ote.vcdn.att-idns.net"""
"1","""Shared Business CA 4"""
"1","""ospanel"""
"1","""ssd90251.com"""
"1","""FEG Class 2 Issuing CA"""
"1","""mail.iteasybg.com"""
"1","""lumitex-STR-CA"""
"1","""InfoPlus Root CA"""
"1","""mahad-aisyah.com"""
"1","""SATH-SATH-CA"""
"1","""ucg-AD01-CA"""
"1","""pantanassamonastery.org"""
"1","""web2-den.connecteddatasolutions.com"""
"1","""ftp2.analog.co.at"""
"1","""KASEYA2"""
"1","""certificat racine"""
"1","""plesk.com"""
"1","""aios3-staging.agentimage.com"""
"1","""site2x.com"""
"1","""harmonia.fr.capgemini.com CA"""
"1","""BDCH-SUB1-CA"""
"1","""godmoneybot.com"""
"1","""qta-1.co.id"""
"1","""S1DMZTST002"""
