,items,support,count,,,,
17449,"{SSL3Enabled=0,supportsRc4=false,poodle=false,hpkpPolicy.status=\absent\""}""",0.780770482,57599,,,,
17512,"{SSL3Enabled=0,supportsRc4=false,hpkpPolicy.status=\absent\""}""",0.780770482,57599,,,,
17475,"{SSL2Enabled=0,supportsRc4=false,poodle=false,hpkpPolicy.status=\absent\""}""",0.780553598,57583,,,,
17444,"{SSL2Enabled=0,SSL3Enabled=0,supportsRc4=false,poodle=false,hpkpPolicy.status=\absent\""}""",0.780526487,57581,,,,
17507,"{SSL2Enabled=0,SSL3Enabled=0,supportsRc4=false,hpkpPolicy.status=\absent\""}""",0.780526487,57581,,,,
17476,"{supportsRc4=false,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""}""",0.780445155,57575,,,,
17445,"{SSL3Enabled=0,supportsRc4=false,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""}""",0.780418045,57573,,,,
17508,"{SSL3Enabled=0,supportsRc4=false,heartbleed=false,hpkpPolicy.status=\absent\""}""",0.780418045,57573,,,,
17474,"{SSL2Enabled=0,supportsRc4=false,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""}""",0.78020116,57557,,,,
17443,"{SSL2Enabled=0,SSL3Enabled=0,supportsRc4=false,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""}""",0.78017405,57555,,,,
17506,"{SSL2Enabled=0,SSL3Enabled=0,supportsRc4=false,heartbleed=false,hpkpPolicy.status=\absent\""}""",0.78017405,57555,,,,
17594,"{poodle=false,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.778696524,57446,,,
17610,"{poodle=false,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.778696524,57446,,,,
17529,"{supportsRc4=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.77799165,57394,,,
17585,"{heartbleed=false,poodle=false,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.777544326,57361,,,
17592,"{heartbleed=false,poodle=false,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.777544326,57361,,,,
17519,"{SSL2Enabled=0,supportsRc4=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.777110557,57329,,,
17599,"{SSL2Enabled=0,poodle=false,keySize=2048,keyAlg=\RSA\""}""",0.77701567,57322,,,,
17606,"{SSL2Enabled=0,poodle=false,keySize=2048}",0.77701567,57322,,,,
17520,"{supportsRc4=false,heartbleed=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.776947894,57317,,,
17518,"{SSL2Enabled=0,supportsRc4=false,heartbleed=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.776093911,57254,,,
17598,"{SSL2Enabled=0,heartbleed=false,poodle=false,keySize=2048,keyAlg=\RSA\""}""",0.775863471,57237,,,,
17605,"{SSL2Enabled=0,heartbleed=false,poodle=false,keySize=2048}",0.775863471,57237,,,,
17584,"{SSL2Enabled=0,poodle=false,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.771539337,56918,,,
17591,"{SSL2Enabled=0,poodle=false,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.771539337,56918,,,,
17583,"{SSL2Enabled=0,heartbleed=false,poodle=false,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.770387139,56833,,,
17590,"{SSL2Enabled=0,heartbleed=false,poodle=false,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.770387139,56833,,,,
17482,"{supportsRc4=false,poodle=false,sigAlg=\SHA256withRSA\""}""",0.768462289,56691,,,,
17451,"{SSL3Enabled=0,supportsRc4=false,poodle=false,sigAlg=\SHA256withRSA\""}""",0.768435179,56689,,,,
17514,"{SSL3Enabled=0,supportsRc4=false,sigAlg=\SHA256withRSA\""}""",0.768435179,56689,,,,
17463,"{SSL2Enabled=0,supportsRc4=false,poodle=false,sigAlg=\SHA256withRSA\""}""",0.768218294,56673,,,,
17432,"{SSL2Enabled=0,SSL3Enabled=0,supportsRc4=false,poodle=false,sigAlg=\SHA256withRSA\""}""",0.768191184,56671,,,,
17495,"{SSL2Enabled=0,SSL3Enabled=0,supportsRc4=false,sigAlg=\SHA256withRSA\""}""",0.768191184,56671,,,,
17641,"{SSL3Enabled=0,keySize=2048,keyAlg=\RSA\""}""",0.767838746,56645,,,,
17674,"{SSL3Enabled=0,keySize=2048}",0.767838746,56645,,,,
17578,"{SSL3Enabled=0,poodle=false,keySize=2048,keyAlg=\RSA\""}""",0.767689638,56634,,,,
17611,"{SSL3Enabled=0,poodle=false,keySize=2048}",0.767689638,56634,,,,
17464,"{supportsRc4=false,heartbleed=false,poodle=false,sigAlg=\SHA256withRSA\""}""",0.767581196,56626,,,,
17433,"{SSL3Enabled=0,supportsRc4=false,heartbleed=false,poodle=false,sigAlg=\SHA256withRSA\""}""",0.767554086,56624,,,,
